"","L1-1","L1-2","L1-3","L1-4","L1-5","L2-1","L2-2","L2-3","L2-4","L2-5"
"3-Aminoisobutyric acid","-1.0105627"," 0.1669998","-0.2397945","-1.0319730","-1.3745366"," 1.3231521","-0.1969741"," 1.0448191","-0.1113332"," 1.4302032"
"3-Aminobutyric acid","-0.9738250","-0.9409810","-0.9245590","-0.9574030","-0.8670820"," 1.0871369"," 1.3252560"," 0.6519537"," 0.7833297"," 0.8161737"
"3',5'-ADP","-1.4473343","-1.1833098","-0.4872452","-0.9672898","-0.0312029"," 0.8088751"," 0.8328773"," 1.5769463"," 0.2328216"," 0.6648617"
"2-Phosphoglyceric acid"," 1.2699732"," 0.5644325"," 0.1411081"," 1.8344057"," 0.2822163","-0.8466488","-1.1288650","-0.9877569","-0.5644325","-0.5644325"
"2-Methylserine"," 0.3978349"," 1.9279693"," 0.3978349"," 1.3159155","-1.1322994","-0.2142188","-0.5202457","-0.8262725","-0.8262725","-0.5202457"
"2-Hydroxyvaleric acid","-0.48029901","-0.99954118","-0.48029901","-0.61010955","-1.38897281"," 1.59666968"," 1.33704859"," 0.03894316"," 0.03894316"," 0.94761696"
"2-Hydroxyisobutyric acid","-0.3136250","-0.4704375","-1.4113126","-1.4113126","-0.3920313"," 1.0976876"," 1.6465314"," 0.5488438"," 0.5488438"," 0.1568125"
"2-Hydroxybutyric acid","-0.9872950"," 1.6498097"," 1.1964127","-0.3951030","-1.3204029"," 1.1594007","-0.2100431","-0.4228620","-0.6356810","-0.0342361"
"2-Hydroxy-4-methylvaleric acid"," 1.9761287","-0.4940322"," 0.1235080","-0.4940322","-1.7291126"," 0.7410483"," 0.7410483","-0.4940322","-0.4940322"," 0.1235080"
"2-Deoxyglucose 6-phosphate","-1.0547444","-0.7351249","-0.7351249","-0.7351249","-0.4155054"," 1.5022118"," 0.5433532","-0.4155054"," 0.2237337"," 1.8218313"
"2-Aminobutyric acid","-1.33461125"," 0.07024270","-0.39391610","-1.00041692","-1.33461125"," 0.95214441"," 1.35750975"," 1.05735373","-0.01330589"," 0.63961082"
"2-Aminoadipic acid","-0.8703490"," 1.4970176"," 1.0904638","-0.4961756","-1.1380270"," 0.8008391","-0.8289741","-0.1669749","-0.9207185"," 1.0328986"
"2,6-Diaminopimelic acid","-1.08148486","-1.08148486","-1.08148486","-0.03908981","-1.08148486"," 1.26390400"," 0.61240709"," 1.26390400"," 0.61240709"," 0.61240709"
"2,4-Diaminobutyric acid"," 1.2414088"," 0.7448453"," 0.7448453"," 1.2414088","-0.2482818","-0.2482818","-1.7379724","-0.2482818","-1.2414088","-0.2482818"
"2,3-Diphosphoglyceric acid"," 0.03601513"," 0.15606556"," 0.27611599"," 1.23651945"," 1.20650684","-1.58466570"," 1.08645641","-0.50421181","-0.68428746","-1.22451440"
"2,3-Diaminopropionic acid"," 0.08352691"," 0.08352691","-0.38051147"," 1.47564202"," 0.08352691"," 1.01160365","-0.38051147"," 1.01160365","-1.49420356","-1.49420356"
"1-Pyrroline 5-carboxylic acid","-0.2294608"," 1.4702491"," 1.8951765","-1.3342723","-0.6543883","-0.2294608","-0.6543883"," 0.1954666","-0.6543883"," 0.1954666"
"1-Methylnicotinamide"," 2.2124881","-0.1996230","-0.6570923","-1.0729735"," 0.2162582","-0.4075636"," 0.9232563","-0.1164467"," 0.2578464","-1.1561498"
"1-Methylhistidine ; 3-Methylhistidine","-0.7732677","-0.3495594"," 0.2330396","-0.5084500","-1.9384655"," 1.3982374"," 1.3982374"," 0.4978573","-0.1377052"," 0.1800760"
"1-Methylhistamine"," 0.3643993","-0.8502651"," 1.5790638","-0.8502651","-0.8502651","-0.8502651"," 0.3643993","-0.8502651"," 0.3643993"," 1.5790638"
"1-Methyladenosine","-1.2710342","-1.2710342","-0.5233670","-0.5233670"," 0.2243002"," 0.2243002"," 1.7196345"," 0.9719673","-0.5233670"," 0.9719673"
"1-Methyl-4-imidazoleacetic acid","-0.6095569","-1.0159282","-0.4063713","-1.0159282","-1.2191138"," 1.0159282"," 0.4063713"," 0.2031856"," 1.6254851"," 1.0159282"
"1-Methyl-2-pyrrolidone"," 0.94214132"," 0.27110049"," 0.80793316","-0.13152400"," 0.58425288"," 0.49478077","-1.77781084","-1.77781084"," 0.67372499","-0.08678795"
"1H-Imidazole-4-propionic acid"," 1.01665813"," 1.74284251"," 0.04841229"," 0.77459667","-1.16189500"," 0.53253521","-0.91983354","-1.16189500","-0.67777209","-0.19364917"
